Week End,Show,Type,Theatre,Grosses,Attend,% Cap
7/31/2022,INTO THE WOODS 2022,Musical,St. James,1941026,13547,0.99
8/7/2022,INTO THE WOODS 2022,Musical,St. James,1933392,13412,0.99
8/14/2022,INTO THE WOODS 2022,Musical,St. James,2004011,13641,1
8/21/2022,INTO THE WOODS 2022,Musical,St. James,2082652,13689,1.01
8/28/2022,INTO THE WOODS 2022,Musical,St. James,1616557,12765,0.94
9/4/2022,INTO THE WOODS 2022,Musical,St. James,1867862,13458,0.99
9/11/2022,INTO THE WOODS 2022,Musical,St. James,1044801,9254,0.68
9/18/2022,INTO THE WOODS 2022,Musical,St. James,1100006,9605,0.71
9/25/2022,INTO THE WOODS 2022,Musical,St. James,1143349,10175,0.75
10/2/2022,INTO THE WOODS 2022,Musical,St. James,1006001,8309,0.75
10/9/2022,INTO THE WOODS 2022,Musical,St. James,1230128,10213,0.79
10/16/2022,INTO THE WOODS 2022,Musical,St. James,1210653,9685,0.71
10/23/2022,INTO THE WOODS 2022,Musical,St. James,775359,8192,0.74
10/30/2022,INTO THE WOODS 2022,Musical,St. James,701271,6824,0.62
11/6/2022,INTO THE WOODS 2022,Musical,St. James,710056,6991,0.64
11/13/2022,INTO THE WOODS 2022,Musical,St. James,927751,8562,0.78
11/20/2022,INTO THE WOODS 2022,Musical,St. James,733841,7031,0.61
11/27/2022,INTO THE WOODS 2022,Musical,St. James,1032393,8342,0.61
12/4/2022,INTO THE WOODS 2022,Musical,St. James,839475,8221,0.68
12/11/2022,INTO THE WOODS 2022,Musical,St. James,898994,8711,0.72
12/18/2022,INTO THE WOODS 2022,Musical,St. James,1000256,9260,0.76
12/25/2022,INTO THE WOODS 2022,Musical,St. James,876396,8259,0.71
10/16/2022,KIMBERLY AKIMBO,Musical,Booth,300433,4225,0.91
10/23/2022,KIMBERLY AKIMBO,Musical,Booth,367074,4939,0.91
10/30/2022,KIMBERLY AKIMBO,Musical,Booth,400953,5105,0.83
11/6/2022,KIMBERLY AKIMBO,Musical,Booth,420700,5580,0.9
11/13/2022,KIMBERLY AKIMBO,Musical,Booth,491165,5783,0.94
11/20/2022,KIMBERLY AKIMBO,Musical,Booth,456718,4930,0.8
11/27/2022,KIMBERLY AKIMBO,Musical,Booth,535043,4794,0.78
12/4/2022,KIMBERLY AKIMBO,Musical,Booth,536152,4943,0.8
12/11/2022,KIMBERLY AKIMBO,Musical,Booth,570155,5294,0.86
12/18/2022,KIMBERLY AKIMBO,Musical,Booth,502745,4856,0.79
12/25/2022,KIMBERLY AKIMBO,Musical,Booth,510827,4578,0.74
10/16/2022,KPOP,Musical,Circle In The Square,191119,2303,0.84
10/23/2022,KPOP,Musical,Circle In The Square,196419,3293,0.8
10/30/2022,KPOP,Musical,Circle In The Square,165174,3929,0.71
11/6/2022,KPOP,Musical,Circle In The Square,139388,3973,0.83
11/13/2022,KPOP,Musical,Circle In The Square,134348,3614,0.88
11/20/2022,KPOP,Musical,Circle In The Square,127262,3889,0.94
11/27/2022,KPOP,Musical,Circle In The Square,224389,4488,0.82
12/4/2022,KPOP,Musical,Circle In The Square,126493,3946,0.72
12/11/2022,KPOP,Musical,Circle In The Square,281757,5512,1
9/18/2022,LEOPOLDSTADT,Play,Longacre,556493,4068,0.76
9/25/2022,LEOPOLDSTADT,Play,Longacre,753157,5932,0.79
10/2/2022,LEOPOLDSTADT,Play,Longacre,758988,7649,0.89
10/9/2022,LEOPOLDSTADT,Play,Longacre,904433,6955,0.81
10/16/2022,LEOPOLDSTADT,Play,Longacre,1095529,7158,0.83
10/23/2022,LEOPOLDSTADT,Play,Longacre,1158051,7734,0.9
10/30/2022,LEOPOLDSTADT,Play,Longacre,1108296,7301,0.85
11/6/2022,LEOPOLDSTADT,Play,Longacre,1113992,7193,0.84
11/13/2022,LEOPOLDSTADT,Play,Longacre,1176995,7914,0.92
11/20/2022,LEOPOLDSTADT,Play,Longacre,1156245,7572,0.88
11/27/2022,LEOPOLDSTADT,Play,Longacre,1004563,6828,0.79
12/4/2022,LEOPOLDSTADT,Play,Longacre,1087164,7007,0.81
12/11/2022,LEOPOLDSTADT,Play,Longacre,1078215,6994,0.81
12/18/2022,LEOPOLDSTADT,Play,Longacre,895595,6349,0.74
12/25/2022,LEOPOLDSTADT,Play,Longacre,655269,5619,0.75
4/3/2022,MACBETH 2022,Play,Longacre,527244,3139,1
4/17/2022,MACBETH 2022,Play,Longacre,1170013,6283,1
4/24/2022,MACBETH 2022,Play,Longacre,1285183,7333,1
5/1/2022,MACBETH 2022,Play,Longacre,970737,7313,0.99
5/8/2022,MACBETH 2022,Play,Longacre,1365599,8077,0.96
5/15/2022,MACBETH 2022,Play,Longacre,1233487,7226,0.98
5/22/2022,MACBETH 2022,Play,Longacre,1353700,8135,0.97
5/29/2022,MACBETH 2022,Play,Longacre,1116578,6930,0.94
6/5/2022,MACBETH 2022,Play,Longacre,995270,6670,0.79
6/12/2022,MACBETH 2022,Play,Longacre,909344,6336,0.86
6/19/2022,MACBETH 2022,Play,Longacre,923466,7009,0.83
6/26/2022,MACBETH 2022,Play,Longacre,796837,6438,0.88
7/3/2022,MACBETH 2022,Play,Longacre,728171,8027,0.95
7/10/2022,MACBETH 2022,Play,Longacre,882382,7239,0.98
10/30/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,219058,4270,1
11/6/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,358288,6284,0.73
11/13/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,290305,6916,0.92
11/20/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,373530,6115,0.81
11/27/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,391153,5894,0.78
12/4/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,398095,6105,0.81
12/11/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,435310,6176,0.82
12/18/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,398713,5719,0.76
12/25/2022,MIKE BIRBIGLIA: THE OLD MAN & THE POOL,Play,Vivian Beaumont,341950,4956,0.66
3/20/2022,MJ THE MUSICAL,Musical,Neil Simon,1314241,10270,0.93
3/13/2022,MJ THE MUSICAL,Musical,Neil Simon,1150431,8881,0.79
2/27/2022,MJ THE MUSICAL,Musical,Neil Simon,1367892,10852,0.96
3/6/2022,MJ THE MUSICAL,Musical,Neil Simon,1124810,8952,0.79
2/6/2022,MJ THE MUSICAL,Musical,Neil Simon,874266,10107,0.89
2/13/2022,MJ THE MUSICAL,Musical,Neil Simon,1238202,10456,0.92
2/20/2022,MJ THE MUSICAL,Musical,Neil Simon,1409885,11067,0.98
1/9/2022,MJ THE MUSICAL,Musical,Neil Simon,603989,6284,0.63
1/16/2022,MJ THE MUSICAL,Musical,Neil Simon,532088,7058,0.71
1/23/2022,MJ THE MUSICAL,Musical,Neil Simon,624403,7877,0.93
1/30/2022,MJ THE MUSICAL,Musical,Neil Simon,706645,8326,0.84
1/2/2022,MJ THE MUSICAL,Musical,Neil Simon,776659,5727,0.81
3/27/2022,MJ THE MUSICAL,Musical,Neil Simon,1250077,9754,0.88
4/3/2022,MJ THE MUSICAL,Musical,Neil Simon,1185483,9160,0.83
4/10/2022,MJ THE MUSICAL,Musical,Neil Simon,1323773,9946,0.9
4/17/2022,MJ THE MUSICAL,Musical,Neil Simon,1462484,10841,0.98
4/24/2022,MJ THE MUSICAL,Musical,Neil Simon,1446359,10574,0.95
5/1/2022,MJ THE MUSICAL,Musical,Neil Simon,1226825,9369,0.84
5/8/2022,MJ THE MUSICAL,Musical,Neil Simon,1352589,9973,0.9
5/15/2022,MJ THE MUSICAL,Musical,Neil Simon,1352143,10468,0.94
5/22/2022,MJ THE MUSICAL,Musical,Neil Simon,1464626,10777,0.97
5/29/2022,MJ THE MUSICAL,Musical,Neil Simon,1460190,10408,0.94
6/5/2022,MJ THE MUSICAL,Musical,Neil Simon,1402897,10509,0.95
6/12/2022,MJ THE MUSICAL,Musical,Neil Simon,1444057,10666,0.96
6/19/2022,MJ THE MUSICAL,Musical,Neil Simon,1660978,11070,1
6/26/2022,MJ THE MUSICAL,Musical,Neil Simon,1681671,11139,1
7/3/2022,MJ THE MUSICAL,Musical,Neil Simon,1713666,11107,1
7/10/2022,MJ THE MUSICAL,Musical,Neil Simon,1704676,11062,1
7/17/2022,MJ THE MUSICAL,Musical,Neil Simon,1479499,9742,1
7/24/2022,MJ THE MUSICAL,Musical,Neil Simon,1525812,9748,1
7/31/2022,MJ THE MUSICAL,Musical,Neil Simon,1732995,11143,1
8/7/2022,MJ THE MUSICAL,Musical,Neil Simon,1746901,11144,1
8/14/2022,MJ THE MUSICAL,Musical,Neil Simon,1743069,11140,1
8/21/2022,MJ THE MUSICAL,Musical,Neil Simon,1734074,11143,1
8/28/2022,MJ THE MUSICAL,Musical,Neil Simon,1731913,11112,1
9/4/2022,MJ THE MUSICAL,Musical,Neil Simon,1762559,11137,1
9/11/2022,MJ THE MUSICAL,Musical,Neil Simon,1698290,11136,1
9/18/2022,MJ THE MUSICAL,Musical,Neil Simon,1724444,11137,1
9/25/2022,MJ THE MUSICAL,Musical,Neil Simon,1732796,11138,1
10/2/2022,MJ THE MUSICAL,Musical,Neil Simon,1728285,11101,1
10/9/2022,MJ THE MUSICAL,Musical,Neil Simon,1765676,11125,1
10/16/2022,MJ THE MUSICAL,Musical,Neil Simon,1777138,11143,1
10/23/2022,MJ THE MUSICAL,Musical,Neil Simon,1746669,11139,1
10/30/2022,MJ THE MUSICAL,Musical,Neil Simon,1810272,11048,1
11/6/2022,MJ THE MUSICAL,Musical,Neil Simon,1760183,11125,1
11/13/2022,MJ THE MUSICAL,Musical,Neil Simon,1815353,11137,1
11/20/2022,MJ THE MUSICAL,Musical,Neil Simon,1694503,10941,0.99
11/27/2022,MJ THE MUSICAL,Musical,Neil Simon,1958177,11143,1
12/4/2022,MJ THE MUSICAL,Musical,Neil Simon,1739485,11055,1
12/11/2022,MJ THE MUSICAL,Musical,Neil Simon,1764002,11123,1
12/18/2022,MJ THE MUSICAL,Musical,Neil Simon,1741473,11087,1
12/25/2022,MJ THE MUSICAL,Musical,Neil Simon,1840567,11107,1
3/20/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1381323,9705,0.93
3/13/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1241671,9552,0.92
2/27/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1279778,10294,0.99
3/6/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1097844,8935,0.86
2/6/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1015999,9428,0.91
2/13/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1165376,10092,0.97
2/20/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1306828,10313,0.99
1/9/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,987098,7477,0.72
1/16/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1043360,8134,0.78
1/23/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,980487,8824,0.85
1/30/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,906928,8766,0.84
1/2/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,677742,3731,0.96
3/27/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1406498,9908,0.95
4/3/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1336959,9519,0.92
4/10/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1418525,9631,0.93
4/17/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1468217,10119,0.97
4/24/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1469432,10098,0.97
5/1/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1419845,9904,0.95
5/8/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1592498,10323,0.99
5/15/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,537705,4750,0.91
5/22/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1369262,9896,0.95
5/29/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1310157,9682,0.93
6/5/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1196719,9583,0.92
6/12/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1235274,10111,0.97
6/19/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1274172,10249,0.99
6/26/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1208357,10247,0.99
7/3/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1106691,9877,0.95
7/10/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1073383,9820,0.94
7/17/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1177392,10093,0.97
7/24/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1234889,10129,0.97
7/31/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1153343,10105,0.97
8/7/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1170809,9992,0.96
8/14/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1157450,9740,0.94
8/21/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1165627,10142,0.98
8/28/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1149889,10051,0.97
9/4/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1219995,10158,0.98
9/11/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1277956,10337,0.99
9/18/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1305438,10356,1
9/25/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1281898,10333,0.99
10/2/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1214235,10139,0.97
10/9/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1330506,10385,1
10/16/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1325175,10376,1
10/23/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1269930,10358,1
10/30/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1167728,9978,0.96
11/6/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1219050,10092,0.97
11/13/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1279623,10185,0.98
11/20/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1194270,10108,0.97
11/27/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1373861,10295,0.99
12/4/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1399728,10262,0.99
12/11/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1453652,10363,1
12/18/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1400025,10105,0.97
12/25/2022,MOULIN ROUGE! THE MUSICAL,Musical,Al Hirschfeld,1159957,8756,0.96
4/3/2022,MR. SATURDAY NIGHT,Musical,Nederlander,805619,6210,0.87
4/10/2022,MR. SATURDAY NIGHT,Musical,Nederlander,884707,7306,0.88
4/17/2022,MR. SATURDAY NIGHT,Musical,Nederlander,652920,5474,0.66
4/24/2022,MR. SATURDAY NIGHT,Musical,Nederlander,770229,7504,0.9
5/1/2022,MR. SATURDAY NIGHT,Musical,Nederlander,711269,6006,0.84
5/8/2022,MR. SATURDAY NIGHT,Musical,Nederlander,565412,4058,0.68
5/15/2022,MR. SATURDAY NIGHT,Musical,Nederlander,858847,6519,0.78
5/22/2022,MR. SATURDAY NIGHT,Musical,Nederlander,818982,5794,0.69
5/29/2022,MR. SATURDAY NIGHT,Musical,Nederlander,396540,3012,0.63
6/12/2022,MR. SATURDAY NIGHT,Musical,Nederlander,848030,6468,0.78
6/19/2022,MR. SATURDAY NIGHT,Musical,Nederlander,732810,5361,0.75
6/26/2022,MR. SATURDAY NIGHT,Musical,Nederlander,820691,5952,0.72
7/3/2022,MR. SATURDAY NIGHT,Musical,Nederlander,684966,6182,0.74
7/10/2022,MR. SATURDAY NIGHT,Musical,Nederlander,542696,4375,0.61
7/17/2022,MR. SATURDAY NIGHT,Musical,Nederlander,623535,5050,0.61
7/24/2022,MR. SATURDAY NIGHT,Musical,Nederlander,667303,5362,0.64
7/31/2022,MR. SATURDAY NIGHT,Musical,Nederlander,586743,5254,0.63
8/7/2022,MR. SATURDAY NIGHT,Musical,Nederlander,541362,4740,0.66
8/14/2022,MR. SATURDAY NIGHT,Musical,Nederlander,704573,6033,0.73
8/21/2022,MR. SATURDAY NIGHT,Musical,Nederlander,738143,6413,0.77
8/28/2022,MR. SATURDAY NIGHT,Musical,Nederlander,862889,7425,0.89
9/4/2022,MR. SATURDAY NIGHT,Musical,Nederlander,1014614,8148,0.98
1/9/2022,MRS. DOUBTFIRE,Musical,Stephen Sondheim,419319,5738,0.69
1/2/2022,MRS. DOUBTFIRE,Musical,Stephen Sondheim,933818,7173,0.77
4/17/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,528807,5887,0.95
4/24/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,631929,7078,0.86
5/1/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,421454,5288,0.64
5/8/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,477132,5710,0.69
5/15/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,395679,5222,0.63
5/22/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,509975,6104,0.74
5/29/2022,MRS. DOUBTFIRE 2022,Musical,Stephen Sondheim,725700,7832,0.95
11/13/2022,OHIO STATE MURDERS,Play,James Earl Jones,145011,1849,0.58
11/20/2022,OHIO STATE MURDERS,Play,James Earl Jones,291583,4162,0.49
11/27/2022,OHIO STATE MURDERS,Play,James Earl Jones,229159,3639,0.43
12/4/2022,OHIO STATE MURDERS,Play,James Earl Jones,196541,2923,0.46
12/11/2022,OHIO STATE MURDERS,Play,James Earl Jones,300180,5502,0.64
12/18/2022,OHIO STATE MURDERS,Play,James Earl Jones,282787,3770,0.44
12/25/2022,OHIO STATE MURDERS,Play,James Earl Jones,182502,2682,0.36
3/20/2022,PARADISE SQUARE,Musical,Ethel Barrymore,355401,7588,0.97
3/27/2022,PARADISE SQUARE,Musical,Ethel Barrymore,346651,7287,0.93
4/3/2022,PARADISE SQUARE,Musical,Ethel Barrymore,296350,7165,0.91
4/10/2022,PARADISE SQUARE,Musical,Ethel Barrymore,80612,2185,0.74
4/24/2022,PARADISE SQUARE,Musical,Ethel Barrymore,253374,4791,0.61
5/1/2022,PARADISE SQUARE,Musical,Ethel Barrymore,206562,4260,0.54
5/8/2022,PARADISE SQUARE,Musical,Ethel Barrymore,193669,4804,0.61
5/15/2022,PARADISE SQUARE,Musical,Ethel Barrymore,235604,5488,0.7
5/22/2022,PARADISE SQUARE,Musical,Ethel Barrymore,241952,4502,0.57
5/29/2022,PARADISE SQUARE,Musical,Ethel Barrymore,261256,4800,0.61
6/5/2022,PARADISE SQUARE,Musical,Ethel Barrymore,229337,4599,0.59
6/12/2022,PARADISE SQUARE,Musical,Ethel Barrymore,263147,4722,0.6
6/19/2022,PARADISE SQUARE,Musical,Ethel Barrymore,387670,5064,0.64
6/26/2022,PARADISE SQUARE,Musical,Ethel Barrymore,363664,4552,0.58
7/3/2022,PARADISE SQUARE,Musical,Ethel Barrymore,300508,4279,0.54
7/10/2022,PARADISE SQUARE,Musical,Ethel Barrymore,266926,3777,0.48
7/17/2022,PARADISE SQUARE,Musical,Ethel Barrymore,520750,5745,0.73
3/20/2022,PLAZA SUITE 2022,Play,Hudson,1657090,7792,1
3/13/2022,PLAZA SUITE 2022,Play,Hudson,1578282,7722,0.99
2/27/2022,PLAZA SUITE 2022,Play,Hudson,720823,2925,1
3/6/2022,PLAZA SUITE 2022,Play,Hudson,1607753,7569,0.97
3/27/2022,PLAZA SUITE 2022,Play,Hudson,1567493,7791,1
4/3/2022,PLAZA SUITE 2022,Play,Hudson,1383563,7740,0.99
4/10/2022,PLAZA SUITE 2022,Play,Hudson,547536,2680,0.92
4/17/2022,PLAZA SUITE 2022,Play,Hudson,917819,4509,0.92
4/24/2022,PLAZA SUITE 2022,Play,Hudson,1684725,7728,0.99
5/1/2022,PLAZA SUITE 2022,Play,Hudson,1656074,7693,0.99
5/8/2022,PLAZA SUITE 2022,Play,Hudson,1668783,7756,0.99
5/15/2022,PLAZA SUITE 2022,Play,Hudson,1619811,7720,0.99
5/22/2022,PLAZA SUITE 2022,Play,Hudson,1647507,7727,0.99
5/29/2022,PLAZA SUITE 2022,Play,Hudson,1644056,7728,0.99
6/5/2022,PLAZA SUITE 2022,Play,Hudson,1576900,7687,0.99
6/12/2022,PLAZA SUITE 2022,Play,Hudson,1708387,7783,1
6/19/2022,PLAZA SUITE 2022,Play,Hudson,1596307,7789,1
6/26/2022,PLAZA SUITE 2022,Play,Hudson,1597735,7777,1
7/3/2022,PLAZA SUITE 2022,Play,Hudson,1045851,5847,1
7/10/2022,PLAZA SUITE 2022,Play,Hudson,1430342,7800,1
4/17/2022,POTUS,Play,Shubert,152727,3467,0.6
4/24/2022,POTUS,Play,Shubert,313367,7055,0.69
5/1/2022,POTUS,Play,Shubert,330417,8888,0.77
5/8/2022,POTUS,Play,Shubert,380674,5709,0.49
5/15/2022,POTUS,Play,Shubert,461864,6326,0.54
5/22/2022,POTUS,Play,Shubert,529449,6684,0.58
5/29/2022,POTUS,Play,Shubert,445741,6010,0.52
6/5/2022,POTUS,Play,Shubert,430900,5584,0.48
6/12/2022,POTUS,Play,Shubert,478972,5899,0.51
6/19/2022,POTUS,Play,Shubert,497432,5814,0.5
6/26/2022,POTUS,Play,Shubert,494182,5867,0.51
7/3/2022,POTUS,Play,Shubert,406926,5537,0.48
7/10/2022,POTUS,Play,Shubert,391773,5055,0.44
7/17/2022,POTUS,Play,Shubert,466947,5744,0.49
7/24/2022,POTUS,Play,Shubert,524321,6358,0.55
7/31/2022,POTUS,Play,Shubert,517141,6394,0.55
8/7/2022,POTUS,Play,Shubert,579297,7519,0.65
8/14/2022,POTUS,Play,Shubert,750188,8913,0.77
3/20/2022,SIX,Musical,Brooks Atkinson,1284951,8252,1
3/13/2022,SIX,Musical,Brooks Atkinson,1251752,8260,1
2/27/2022,SIX,Musical,Brooks Atkinson,1223370,8133,0.99
3/6/2022,SIX,Musical,Brooks Atkinson,1120497,7940,0.96
2/6/2022,SIX,Musical,Brooks Atkinson,970822,7090,0.86
2/13/2022,SIX,Musical,Brooks Atkinson,994373,7409,0.9
2/20/2022,SIX,Musical,Brooks Atkinson,1171086,8031,0.97
1/9/2022,SIX,Musical,Brooks Atkinson,872654,6739,0.82
1/16/2022,SIX,Musical,Brooks Atkinson,930883,7011,0.85
1/23/2022,SIX,Musical,Brooks Atkinson,942751,7169,0.87
1/30/2022,SIX,Musical,Brooks Atkinson,916509,7074,0.86
1/2/2022,SIX,Musical,Brooks Atkinson,280996,1755,0.85
3/27/2022,SIX,Musical,Brooks Atkinson,1241704,8150,0.99
4/3/2022,SIX,Musical,Brooks Atkinson,1288716,8107,0.98
4/10/2022,SIX,Musical,Brooks Atkinson,1343506,8248,1
4/17/2022,SIX,Musical,Brooks Atkinson,1357276,8156,0.99
4/24/2022,SIX,Musical,Brooks Atkinson,1287373,8088,0.98
5/1/2022,SIX,Musical,Brooks Atkinson,1083870,7359,0.89
5/8/2022,SIX,Musical,Brooks Atkinson,1162514,7954,0.96
5/15/2022,SIX,Musical,Brooks Atkinson,1190681,8149,0.99
5/22/2022,SIX,Musical,Brooks Atkinson,1283416,8129,0.99
5/29/2022,SIX,Musical,Brooks Atkinson,1283844,8130,0.99
6/5/2022,SIX,Musical,Brooks Atkinson,1167198,7674,0.93
6/12/2022,SIX,Musical,Brooks Atkinson,1116564,7155,0.99
6/19/2022,SIX,Musical,Brooks Atkinson,1171935,7182,1
6/26/2022,SIX,Musical,Brooks Atkinson,1200308,7242,1
7/3/2022,SIX,Musical,Brooks Atkinson,1251317,8100,0.98
7/10/2022,SIX,Musical,Brooks Atkinson,1188049,7816,0.95
7/17/2022,SIX,Musical,Brooks Atkinson,1242254,8174,0.99
7/24/2022,SIX,Musical,Brooks Atkinson,1249523,8138,0.99
7/31/2022,SIX,Musical,Brooks Atkinson,1240162,8234,1
8/7/2022,SIX,Musical,Brooks Atkinson,1228127,8167,0.99
8/14/2022,SIX,Musical,Brooks Atkinson,1120134,7747,0.94
8/21/2022,SIX,Musical,Brooks Atkinson,1081608,7650,0.93
8/28/2022,SIX,Musical,Brooks Atkinson,1038255,7466,0.91
9/4/2022,SIX,Musical,Brooks Atkinson,1167815,7614,0.92
9/11/2022,SIX,Musical,Brooks Atkinson,1013108,7570,0.92
9/18/2022,SIX,Musical,Brooks Atkinson,1104036,7885,0.96
9/25/2022,SIX,Musical,Brooks Atkinson,1148744,8087,0.98
10/2/2022,SIX,Musical,Brooks Atkinson,1044106,7587,0.92
10/9/2022,SIX,Musical,Brooks Atkinson,1213401,7910,0.96
10/16/2022,SIX,Musical,Brooks Atkinson,1225787,8037,0.97
10/23/2022,SIX,Musical,Brooks Atkinson,1189892,8119,0.98
10/30/2022,SIX,Musical,Brooks Atkinson,973408,7375,0.89
11/6/2022,SIX,Musical,Lena Horne,1056663,7593,0.92
11/13/2022,SIX,Musical,Lena Horne,1163568,8095,0.98
11/20/2022,SIX,Musical,Lena Horne,1135184,8009,0.97
11/27/2022,SIX,Musical,Lena Horne,1347558,8198,0.99
12/4/2022,SIX,Musical,Lena Horne,1317954,8063,0.98
12/11/2022,SIX,Musical,Lena Horne,1295320,8063,0.98
12/18/2022,SIX,Musical,Lena Horne,1311602,7986,0.97
12/25/2022,SIX,Musical,Lena Horne,1274284,7960,0.97
2/6/2022,SKELETON CREW,Play,Friedman,221502,4789,1.04
2/13/2022,SKELETON CREW,Play,Friedman,249753,4762,1.04
2/20/2022,SKELETON CREW,Play,Friedman,295725,4741,1.03
1/16/2022,SKELETON CREW,Play,Friedman,74850,2824,0.61
1/23/2022,SKELETON CREW,Play,Friedman,113731,4335,0.94
1/30/2022,SKELETON CREW,Play,Friedman,122894,4776,1.04
1/2/2022,SKELETON CREW,Play,Friedman,44425,1795,0.78
1/9/2022,SLAVE PLAY 2021,Play,August Wilson,110637,3289,0.33
1/16/2022,SLAVE PLAY 2021,Play,August Wilson,173564,4481,0.45
1/23/2022,SLAVE PLAY 2021,Play,August Wilson,294237,6028,0.69
1/2/2022,SLAVE PLAY 2021,Play,August Wilson,86107,2290,0.26
11/6/2022,SOME LIKE IT HOT,Musical,Shubert,539593,7131,0.82
11/13/2022,SOME LIKE IT HOT,Musical,Shubert,622409,9303,0.92
11/20/2022,SOME LIKE IT HOT,Musical,Shubert,657581,8802,0.76
11/27/2022,SOME LIKE IT HOT,Musical,Shubert,656445,7777,0.67
